Date,Open,High,Low,Close
2021-02-04,1063.54,1071.24,1062.40,1068.98
2021-02-05,1072.36,1075.00,1070.01,1073.65
2021-02-08,1079.15,1084.66,1079.15,1084.40
2021-02-09,1086.79,1090.82,1084.87,1089.65
2021-02-10,1093.39,1096.58,1083.74,1092.53
2021-02-11,1092.49,1094.25,1086.73,1091.04
2021-02-12,1090.73,1095.17,1088.14,1095.14
2021-02-16,1097.92,1101.77,1095.46,1097.48
2021-02-17,1087.93,1093.16,1084.80,1091.68
2021-02-18,1086.97,1090.09,1082.50,1086.72
2021-02-19,1088.56,1093.42,1085.61,1092.87
2021-02-22,1090.05,1097.12,1089.45,1094.24
2021-02-23,1088.06,1093.83,1073.76,1090.58
2021-02-24,1091.26,1104.40,1085.49,1098.86
2021-02-25,1097.64,1101.53,1079.64,1084.27
2021-02-26,1083.07,1083.72,1067.73,1073.42
2021-03-01,1084.56,1091.80,1082.79,1087.89
2021-03-02,1090.13,1098.17,1088.34,1096.58
2021-03-03,1097.09,1097.35,1086.57,1090.22
2021-03-04,1088.14,1093.13,1070.53,1079.69
2021-03-05,1087.40,1098.37,1075.51,1096.72
2021-03-08,1098.61,1110.26,1096.24,1101.50
2021-03-09,1107.04,1115.55,1105.86,1107.82
2021-03-10,1113.39,1118.16,1107.93,1113.61
2021-03-11,1120.47,1124.71,1118.27,1121.45
2021-03-12,1119.06,1121.74,1114.50,1121.71
2021-03-15,1125.47,1128.70,1119.20,1128.08
2021-03-16,1129.24,1129.24,1122.76,1123.74
2021-03-17,1122.42,1134.04,1121.14,1130.83
2021-03-18,1128.03,1132.93,1123.10,1124.56
2021-03-19,1124.71,1126.13,1117.20,1124.15
2021-03-22,1122.97,1122.97,1118.46,1121.45
2021-03-23,1120.69,1122.81,1113.95,1115.77
2021-03-24,1120.17,1123.72,1114.68,1114.68
2021-03-25,1111.31,1117.18,1106.01,1115.42
2021-03-26,1116.48,1121.02,1111.14,1120.51
2021-03-29,1117.70,1122.36,1113.56,1119.87
2021-03-30,1116.52,1120.95,1114.45,1118.86
2021-03-31,1119.93,1122.28,1116.06,1117.15
2021-04-01,1122.19,1133.26,1120.39,1133.01
2021-04-05,1137.34,1138.45,1134.74,1135.31
2021-04-06,1138.55,1141.98,1136.45,1138.25
2021-04-07,1140.67,1143.35,1139.23,1141.50
2021-04-08,1142.40,1145.19,1137.93,1145.19
2021-04-09,1142.62,1145.49,1140.53,1145.49
2021-04-12,1145.17,1148.80,1142.27,1145.77
2021-04-13,1149.05,1149.06,1144.34,1145.02
2021-04-14,1148.81,1151.77,1142.88,1143.56
2021-04-15,1148.53,1153.21,1147.11,1152.02
2021-04-16,1155.33,1155.36,1150.49,1153.58
2021-04-19,1152.84,1154.95,1143.76,1145.18
2021-04-20,1138.13,1139.44,1130.05,1134.03
2021-04-21,1133.09,1141.15,1133.08,1139.72
2021-04-22,1139.91,1139.91,1130.29,1132.47
2021-04-23,1133.70,1138.02,1132.44,1136.40
2021-04-26,1136.53,1141.58,1136.53,1140.45
2021-04-27,1142.50,1145.30,1137.60,1141.14
2021-04-28,1145.94,1156.25,1144.81,1153.39
2021-04-29,1156.95,1159.16,1146.43,1147.95
2021-04-30,1144.42,1145.26,1137.34,1138.85
2021-05-03,1143.69,1148.24,1143.26,1143.26
2021-05-04,1143.44,1145.27,1135.33,1144.00
2021-05-05,1147.95,1153.90,1145.92,1152.01
2021-05-06,1151.78,1152.11,1144.21,1150.91
2021-05-07,1152.31,1162.92,1151.63,1161.59
2021-05-10,1163.07,1165.73,1155.97,1155.97
2021-05-11,1145.09,1152.58,1140.83,1151.07
2021-05-12,1147.54,1151.15,1141.40,1143.95
2021-05-13,1143.55,1149.96,1142.92,1147.21
2021-05-14,1151.13,1161.69,1150.90,1160.06
2021-05-17,1158.31,1166.77,1157.27,1166.50
2021-05-18,1166.42,1171.19,1162.55,1168.08
2021-05-19,1158.75,1164.30,1151.00,1162.69
2021-05-20,1163.99,1173.18,1162.43,1170.70
2021-05-21,1174.65,1174.79,1168.50,1169.48
2021-05-25,1175.72,1179.93,1171.77,1172.46
2021-05-26,1178.57,1184.76,1176.56,1183.65
2021-05-27,1184.91,1188.97,1183.93,1184.36
2021-05-28,1191.29,1192.97,1188.61,1189.60
2021-05-31,1192.79,1192.79,1178.30,1180.14
2021-06-01,1191.49,1199.37,1191.49,1196.46
2021-06-02,1200.65,1200.65,1193.77,1194.77
2021-06-03,1192.10,1197.66,1191.51,1193.37
2021-06-04,1198.41,1199.76,1195.57,1199.19
2021-06-07,1200.69,1201.69,1196.70,1199.33
2021-06-08,1200.30,1202.94,1197.01,1200.12
2021-06-09,1198.24,1198.24,1192.87,1195.15
2021-06-10,1199.59,1200.51,1193.48,1197.19
2021-06-11,1200.41,1203.91,1199.04,1202.83
2021-06-14,1201.67,1205.82,1199.85,1205.45
2021-06-15,1208.55,1214.11,1208.28,1212.02
2021-06-16,1212.12,1217.00,1210.11,1212.95
2021-06-17,1212.63,1215.84,1206.43,1209.85
2021-06-18,1201.90,1208.72,1198.79,1201.65
2021-06-21,1206.18,1215.36,1203.11,1210.23
2021-06-22,1212.45,1214.92,1207.57,1211.62
2021-06-23,1213.21,1213.21,1207.89,1208.65
2021-06-24,1213.04,1214.29,1209.68,1211.67
2021-06-25,1212.54,1213.77,1207.17,1213.50
2021-06-28,1216.14,1216.14,1205.84,1208.12
2021-06-29,1210.60,1213.03,1208.57,1210.22
2021-06-30,1208.92,1211.39,1205.42,1209.15
2021-07-02,1215.88,1220.36,1209.93,1212.38
2021-07-05,1213.35,1216.15,1210.46,1215.50
2021-07-06,1216.29,1218.37,1209.75,1217.80
2021-07-07,1218.55,1222.92,1215.38,1218.67
2021-07-08,1206.90,1208.11,1197.95,1202.82
2021-07-09,1207.71,1215.27,1207.05,1214.79
2021-07-12,1215.30,1217.16,1213.79,1214.29
2021-07-13,1217.02,1220.02,1215.66,1217.90
2021-07-14,1219.89,1220.61,1208.57,1209.62
2021-07-15,1208.75,1214.61,1206.56,1213.20
2021-07-16,1214.30,1214.71,1201.92,1202.43
2021-07-19,1193.95,1193.95,1179.92,1187.59
2021-07-20,1189.45,1201.85,1186.17,1199.32
2021-07-21,1203.74,1210.73,1203.74,1207.89
2021-07-22,1207.11,1209.11,1204.13,1207.95
2021-07-23,1212.38,1215.23,1211.59,1214.11
2021-07-26,1213.91,1215.03,1208.32,1211.01
2021-07-27,1208.02,1212.40,1204.74,1211.98
2021-07-28,1214.31,1215.03,1208.70,1213.79
2021-07-29,1216.75,1221.77,1216.60,1218.49
2021-07-30,1213.50,1217.34,1211.79,1216.51
2021-08-03,1219.71,1224.57,1216.44,1222.70
2021-08-04,1221.44,1227.27,1220.02,1221.30
2021-08-05,1223.07,1226.28,1222.36,1223.68
2021-08-06,1225.01,1233.19,1225.01,1231.50
2021-08-09,1227.52,1230.66,1225.62,1230.10
2021-08-10,1231.57,1236.50,1231.41,1233.37
2021-08-11,1235.18,1236.79,1232.43,1235.57
2021-08-12,1235.46,1235.46,1226.93,1233.55
2021-08-13,1235.93,1236.18,1231.79,1233.09
2021-08-16,1229.35,1231.95,1227.23,1231.70
2021-08-17,1228.02,1229.99,1219.93,1225.72
2021-08-18,1224.99,1226.88,1221.18,1221.68
2021-08-19,1215.81,1219.63,1211.07,1217.52
2021-08-20,1218.11,1225.03,1217.20,1224.43
2021-08-23,1227.21,1230.46,1225.34,1230.37
2021-08-24,1231.60,1235.94,1230.26,1233.60
2021-08-25,1235.72,1237.80,1233.46,1236.30
2021-08-26,1236.07,1236.24,1229.63,1229.63
2021-08-27,1232.51,1238.35,1231.71,1236.87
2021-08-30,1237.63,1237.63,1231.34,1233.55
2021-08-31,1234.96,1239.86,1230.49,1231.33
2021-09-01,1233.06,1241.23,1233.06,1238.11
2021-09-02,1240.36,1246.85,1240.36,1244.94
2021-09-03,1246.06,1247.28,1243.44,1245.66
2021-09-07,1247.87,1251.17,1245.55,1245.92
2021-09-08,1245.72,1250.43,1241.81,1242.59
2021-09-09,1241.31,1245.34,1238.01,1239.63
2021-09-10,1242.64,1242.64,1234.36,1234.46
2021-09-13,1240.49,1242.76,1234.09,1236.52
2021-09-14,1236.34,1237.17,1227.79,1228.46
2021-09-15,1231.27,1238.88,1228.91,1237.06
2021-09-16,1236.10,1236.10,1229.20,1231.76
2021-09-17,1225.85,1228.94,1222.13,1224.44
2021-09-20,1212.55,1212.55,1194.57,1205.22
2021-09-21,1212.12,1217.08,1208.94,1211.14
2021-09-22,1219.11,1224.52,1219.11,1220.32
2021-09-23,1220.94,1227.35,1220.25,1224.77
2021-09-24,1222.42,1224.19,1219.93,1221.73
2021-09-27,1223.50,1227.82,1222.81,1225.97
2021-09-28,1221.16,1221.16,1205.74,1209.00
2021-09-29,1213.03,1216.84,1209.31,1209.60
2021-09-30,1211.46,1214.37,1202.46,1203.34
2021-10-01,1206.59,1211.75,1197.14,1208.44
2021-10-04,1204.34,1209.84,1198.63,1203.84
2021-10-05,1207.44,1214.69,1205.10,1211.39
2021-10-06,1204.41,1213.43,1202.66,1213.09
2021-10-07,1219.45,1228.49,1219.45,1225.42
2021-10-08,1228.10,1231.56,1226.50,1226.76
2021-10-12,1225.88,1229.62,1223.89,1226.31
2021-10-13,1228.10,1236.03,1224.76,1235.85
2021-10-14,1243.10,1248.98,1242.73,1247.86
2021-10-15,1252.52,1258.73,1251.45,1256.43
2021-10-18,1254.49,1261.31,1252.20,1261.31
2021-10-19,1265.01,1266.64,1262.87,1266.31
2021-10-20,1265.55,1273.02,1264.88,1272.92
2021-10-21,1269.53,1274.96,1269.19,1274.33
2021-10-22,1274.11,1276.55,1269.13,1274.54
2021-10-25,1275.46,1278.51,1272.26,1277.24
2021-10-26,1278.89,1278.89,1270.34,1270.90
2021-10-27,1270.71,1270.71,1258.50,1258.50
2021-10-28,1260.98,1275.39,1260.80,1274.18
2021-10-29,1269.26,1272.27,1265.17,1265.19
2021-11-01,1270.27,1278.51,1269.23,1277.87
2021-11-02,1278.26,1278.85,1272.87,1273.37
2021-11-03,1274.14,1279.56,1272.93,1278.20
2021-11-04,1283.49,1286.60,1280.49,1285.35
2021-11-05,1289.36,1293.26,1286.99,1290.01
2021-11-08,1295.00,1297.49,1293.53,1294.47
2021-11-09,1294.89,1298.06,1290.96,1297.85
2021-11-10,1295.79,1297.64,1288.30,1290.78
2021-11-11,1299.53,1299.70,1295.65,1296.22
2021-11-12,1297.19,1309.97,1296.87,1309.76
